City,Country,Latitude,Longitude,Max Temp,Wind Speed,Humidity,Cloudiness,Date
Price,US,39.6,-110.81,71.31,8.05,13,1,1555709511
Khatanga,RU,71.98,102.47,-7.33,4.99,95,45,1555709556
Biak,ID,-0.91,122.88,65.93,0.67,99,74,1555709556
Hithadhoo,MV,-0.6,73.08,85.01,15.23,77,100,1555709323
Lebu,ET,8.96,38.73,62.6,4.7,63,20,1555707600
Hermanus,ZA,-34.42,19.24,59.0,3.0,93,69,1555709458
Lima,PE,-12.06,-77.04,72.9,9.17,78,0,1555709105
Callaway,US,46.98,-95.91,59.95,10.29,44,1,1555709459
Claudio,BR,-20.44,-44.77,66.83,2.68,73,0,1555709557
Makakilo City,US,21.35,-158.09,80.49,9.17,51,40,1555709464
Hobart,AU,-42.88,147.33,43.86,10.29,87,0,1555709479
Kloulklubed,PW,7.04,134.26,77.0,10.29,88,90,1555707000
Port Elizabeth,US,39.31,-74.98,71.49,9.17,77,75,1555708964
Port Alfred,ZA,-33.59,26.89,68.0,8.01,66,100,1555708948
Rikitea,PF,-23.12,-134.97,78.89,10.25,77,34,1555708975
Lookan,PH,5.04,120.1,83.03,6.4,73,56,1555709558
Tuktoyaktuk,CA,69.44,-133.03,17.6,10.29,78,90,1555707600
Linhares,BR,-19.38,-40.06,76.55,5.95,85,7,1555709558
New Norfolk,AU,-42.78,147.06,43.32,6.93,87,0,1555708935
Dingle,PH,11.0,122.67,75.11,5.59,81,1,1555709558
Aleksandrovsk-Sakhalinskiy,RU,50.9,142.16,33.89,1.25,94,20,1555709558
Uglovskoye,RU,51.36,80.19,29.93,6.91,79,100,1555709559
Castro,CL,-42.48,-73.76,53.6,10.29,76,75,1555704000
Yellowknife,CA,62.45,-114.38,32.0,11.41,81,90,1555708965
Touros,BR,-5.2,-35.46,82.4,4.7,83,40,1555707600
Bluff,AU,-23.58,149.07,66.29,11.92,86,0,1555708972
Saskylakh,RU,71.97,114.09,-7.52,2.08,95,9,1555709559
Vardo,US,39.62,-77.74,68.83,13.87,83,75,1555709354
Cape Town,ZA,-33.93,18.42,59.86,6.93,100,40,1555709465
Mombetsu,JP,44.35,143.35,35.51,7.83,58,0,1555709559
Yarada,IN,17.65,83.27,80.6,3.36,88,20,1555707600
Broome,GB,52.47,1.45,49.95,3.36,87,0,1555708967
Vaini,IN,15.34,74.49,74.75,2.17,84,12,1555709560
Saveh,IR,35.02,50.36,52.97,6.44,41,0,1555709560
Samarai,PG,-10.62,150.67,74.21,4.18,87,10,1555709560
Jamestown,AU,-33.21,138.6,72.77,12.3,27,5,1555708979
Busselton,AU,-33.64,115.35,40.44,22.5,97,86,1555708707
Narsaq,GL,60.91,-46.05,37.4,13.87,47,40,1555707000
Saint-Philippe,CA,45.36,-73.48,42.37,18.34,93,90,1555708958
Mana,RS,43.52,20.24,48.11,1.12,61,0,1555707600
Airai,TL,-8.93,125.41,73.85,5.77,74,6,1555709561
Nyalikungu,TZ,-2.6,33.44,73.4,6.6,83,75,1555704000
Barrow,AR,-38.31,-60.23,64.67,8.41,44,0,1555708983
Mar del Plata,AR,-46.43,-67.52,62.69,17.81,39,95,1555709561
Zaraza,VE,9.35,-65.33,91.31,13.04,43,56,1555709561
Katsuura,JP,33.93,134.5,50.25,2.24,93,20,1555708800
Kaduqli,SD,11.01,29.72,90.41,10.27,9,33,1555709561
Taoudenni,ML,22.68,-3.98,86.27,11.05,12,28,1555709561
Sterling,US,39.0,-77.4,70.5,14.99,83,90,1555709463
Faanui,PF,-16.48,-151.75,84.65,6.64,72,86,1555709562
Bethel,US,60.79,-161.76,27.55,3.36,68,90,1555707000
Robertsport,LR,6.75,-11.37,81.41,4.94,81,100,1555709562
Gusau,NG,12.17,6.66,90.23,7.74,6,43,1555709562
Mahebourg,MU,-20.41,57.7,77.74,6.93,83,40,1555709342
Sur,OM,22.57,59.53,84.83,7.56,30,0,1555709562
Ushuaia,AR,-54.81,-68.31,46.4,36.91,81,75,1555704000
Kjollefjord,NO,70.95,27.35,41.63,18.03,82,95,1555709562
Punta Arenas,CL,-53.16,-70.91,48.11,27.51,76,20,1555708388
Te Anau,NZ,-45.41,167.72,42.71,1.95,96,98,1555709563
Luanda,AO,-8.83,13.24,80.6,6.93,78,75,1555704000
Qaanaaq,GL,77.48,-69.36,-14.0,2.46,83,98,1555709563
Fortuna,ES,38.18,-1.13,56.25,8.05,93,90,1555709544
Thompson,CA,55.74,-97.86,50.0,17.22,57,90,1555707600
Wamba,CD,2.14,27.99,70.07,2.35,93,90,1555709563
Balkhash,KZ,46.84,74.98,47.57,8.84,76,97,1555709563
Aklavik,CA,68.22,-135.01,21.2,4.7,67,90,1555707600
Norman Wells,CA,65.28,-126.83,33.8,2.24,74,90,1555707600
Butaritari,KI,3.07,172.79,82.85,18.57,77,100,1555708983
Batemans Bay,AU,-35.71,150.18,58.08,1.83,95,24,1555709436
Kaitangata,NZ,-46.28,169.85,55.0,1.99,89,100,1555709449
Pringsewu,ID,-5.36,104.98,73.31,1.92,97,100,1555709564
Rome,IT,41.89,12.48,54.52,4.7,62,0,1555709404
North Platte,US,41.12,-100.77,71.44,9.17,24,1,1555709405
Nouakchott,MR,18.08,-15.98,71.6,16.11,68,0,1555707600
Avarua,CK,-21.21,-159.78,77.0,10.29,65,24,1555705800
Hualmay,PE,-11.1,-77.61,69.17,12.15,89,53,1555709564
Emba,CY,34.81,32.42,57.2,5.82,76,75,1555707600
Ponta do Sol,BR,-20.63,-46.0,66.11,3.2,74,0,1555709565
Ribeira Grande,PT,38.52,-28.7,62.6,6.93,93,75,1555705800
Kieta,PG,-6.22,155.63,82.85,4.03,74,100,1555709565
Dunedin,NZ,-45.87,170.5,53.01,1.01,95,79,1555709401
Dikson,RU,73.51,80.55,-7.16,2.04,100,97,1555708871
Saint-Augustin,FR,44.83,-0.61,60.22,3.36,55,0,1555709450
Chapais,CA,49.78,-74.86,42.8,6.93,56,40,1555707600
Esperance,TT,10.24,-61.45,84.0,16.11,62,20,1555709451
Vestmannaeyjar,IS,63.44,-20.27,45.41,25.14,81,100,1555708976
Naryan-Mar,RU,67.67,53.09,31.91,12.03,94,98,1555709566
Gunjur,GM,13.18,-16.76,71.6,13.87,73,0,1555707600
Yulara,AU,-25.24,130.99,57.2,5.82,33,93,1555707600
Holbeach,GB,52.8,0.02,48.49,4.7,81,0,1555709523
Flin Flon,CA,54.77,-101.88,50.0,6.93,53,75,1555707600
